timestamp,contracts,reason,raw_kelly,fractional_kelly,score_ev,win_rate,avg_win,avg_loss,trade_count
2026-09-08 17:44:30.968443,1,learning_phase_0/20,0.0,0.0,0.22055081153486716,1.0,48.881198819530795,0.0,1
2026-09-08 17:45:30.968471,1,learning_phase_1/20,0.0,0.0,0.12798550883290538,1.0,56.035110333212316,0.0,2
2026-09-08 17:46:30.968484,1,learning_phase_2/20,0.0,0.0,0.23388384977349666,1.0,58.28687786280867,0.0,3
2026-09-08 17:47:30.968495,1,learning_phase_3/20,0.0,0.0,0.1809013362873476,0.75,58.28687786280867,29.894847151934734,4
2026-09-08 17:48:30.968508,1,learning_phase_4/20,0.0,0.0,0.22111602327460939,0.8,57.26296306204772,29.894847151934734,5
2026-09-08 17:49:30.968521,1,learning_phase_5/20,0.0,0.0,0.234413694988524,0.8333333333333334,56.760030835281874,29.894847151934734,6
2026-09-08 17:50:30.968533,1,learning_phase_6/20,0.0,0.0,0.1477005212457796,0.8571428571428571,52.94577734157889,29.894847151934734,7
2026-09-08 17:51:30.968547,1,learning_phase_7/20,0.0,0.0,0.11650778867915151,0.875,55.31119441049177,29.894847151934734,8
2026-09-08 17:52:30.968561,1,learning_phase_8/20,0.0,0.0,0.13419027438129125,0.7777777777777778,55.31119441049177,37.087653896848536,9
2026-09-08 17:53:30.968573,1,learning_phase_9/20,0.0,0.0,0.16406616829393844,0.8,54.969286562781335,37.087653896848536,10
2026-09-08 17:54:30.968585,1,learning_phase_10/20,0.0,0.0,0.22270221488837397,0.8181818181818182,54.828838099223134,37.087653896848536,11
2026-09-08 17:55:30.968596,1,learning_phase_11/20,0.0,0.0,0.2291095874884515,0.8333333333333334,55.94367475621343,37.087653896848536,12
2026-09-08 17:56:30.968606,1,learning_phase_12/20,0.0,0.0,0.10104281957967862,0.7692307692307693,55.94367475621343,37.651038713823425,13
2026-09-08 17:57:30.968617,1,learning_phase_13/20,0.0,0.0,0.17661209538663486,0.7857142857142857,55.84385372192816,37.651038713823425,14
2026-09-08 17:58:30.968627,1,learning_phase_14/20,0.0,0.0,0.16261165047231685,0.8,55.689987703345885,37.651038713823425,15
2026-09-08 17:59:30.968638,1,learning_phase_15/20,0.0,0.0,0.13331617157060954,0.8125,56.75032697312439,37.651038713823425,16
2026-09-08 18:00:30.968649,1,learning_phase_16/20,0.0,0.0,0.11797980510005243,0.7647058823529411,56.75032697312439,40.792159522056565,17
2026-09-08 18:01:30.968660,1,learning_phase_17/20,0.0,0.0,0.1506422757105442,0.7777777777777778,56.866906913331555,40.792159522056565,18
2026-09-08 18:02:30.968671,1,learning_phase_18/20,0.0,0.0,0.24143645558687787,0.7894736842105263,56.92281281655482,40.792159522056565,19
2026-09-08 18:03:30.968682,1,learning_phase_19/20,0.0,0.0,0.1484804398031133,0.75,56.92281281655482,39.855029791133006,20
2026-09-08 18:04:30.968707,5,kelly_0.144_capped_by_position_limit,0.5749602056754739,0.14374005141886848,0.1778185932615049,0.7619047619047619,58.851582666490415,39.855029791133006,21
2026-09-08 18:05:30.968728,5,kelly_0.161_capped_by_position_limit,0.6444591895688486,0.16111479739221216,0.2054528438342767,0.7727272727272727,59.62127764156882,39.855029791133006,22
